scenario,run,npc_vertical_silence,npc_horizontal_silence,npc_behavior_silence,pedestrian_vertical_silence,pedestrian_horizontal_silence,pedestrian_direction_x_silence,pedestrian_direction_y_silence,pedestrian_speed_silence,weather_sun_angle_silence,weather_fog_density_silence
scenario_1,run_2,0.038338658146964855,0.042598509052183174,0.03301384451544196,0.05218317358892439,0.04472843450479233,0.042598509052183174,0.04792332268370607,0.038338658146964855,0.04472843450479233,0.01810436634717785
scenario_1,run_1,0.042437431991294884,0.04352557127312296,0.02176278563656148,0.05767138193688792,0.055495103373231776,0.04570184983677911,0.046789989118607184,0.04896626768226333,0.036996735582154515,0.02176278563656148
scenario_1,run_3,0.03917301414581066,0.05984766050054407,0.025027203482045703,0.05005440696409141,0.04461371055495103,0.056583242655059846,0.058759521218716,0.05331882480957562,0.04787812840043525,0.020674646354733407
scenario_1,run_4,0.031556039173014146,0.04026115342763874,0.03264417845484222,0.04461371055495103,0.05223068552774755,0.051142546245919476,0.03917301414581066,0.046789989118607184,0.04896626768226333,0.02176278563656148
scenario_1,run_5,0.035908596300326445,0.05331882480957562,0.029379760609358,0.046789989118607184,0.042437431991294884,0.03917301414581066,0.04896626768226333,0.04461371055495103,0.046789989118607184,0.01632208922742111
scenario_1,run_6,0.036996735582154515,0.046789989118607184,0.03264417845484222,0.05223068552774755,0.03917301414581066,0.05005440696409141,0.04896626768226333,0.042437431991294884,0.03917301414581066,0.01958650707290533
scenario_1,run_7,0.036996735582154515,0.058759521218716,0.03373231773667029,0.04787812840043525,0.046789989118607184,0.055495103373231776,0.06420021762785637,0.05331882480957562,0.05223068552774755,0.029379760609358
scenario_1,run_8,0.025583982202447165,0.05228031145717464,0.03114571746384872,0.0389321468298109,0.048943270300333706,0.04449388209121246,0.03781979977753059,0.04449388209121246,0.04004449388209121,0.024471635150166853
scenario_1,run_9,0.028291621327529923,0.0544069640914037,0.030467899891186073,0.04570184983677911,0.05984766050054407,0.04461371055495103,0.04026115342763874,0.046789989118607184,0.035908596300326445,0.01632208922742111
scenario_1,run_10,0.04004449388209121,0.05784204671857619,0.03670745272525028,0.04004449388209121,0.04004449388209121,0.04560622914349277,0.06451612903225806,0.04560622914349277,0.04560622914349277,0.018909899888765295
scenario_2,run_2,0.025029797377830752,0.058402860548271755,0.03814064362336114,0.041716328963051254,0.004767580452920143,0.03218116805721097,0.0059594755661501785,0.03218116805721097,0.0,0.01907032181168057
scenario_2,run_1,0.03259604190919674,0.05471478463329453,0.037252619324796274,0.04423748544819558,0.005820721769499418,0.02677532013969732,0.008149010477299184,0.03958090803259604,0.0,0.015133876600698487
scenario_2,run_3,0.02753441802252816,0.052565707133917394,0.03504380475594493,0.05131414267834793,0.006257822277847309,0.028785982478097622,0.006257822277847309,0.03629536921151439,0.0,0.015018773466833541
scenario_2,run_4,0.037252619324796274,0.04190919674039581,0.030267753201396973,0.03841676367869616,0.0011641443538998836,0.030267753201396973,0.009313154831199068,0.05355064027939464,0.0,0.012805587892898719
scenario_2,run_5,0.03456495828367104,0.05125148986889154,0.029797377830750895,0.041716328963051254,0.011918951132300357,0.025029797377830752,0.00834326579261025,0.05959475566150179,0.0,0.021454112038140644
