scenario_1,run_1,2.9986037348517294,4.938811871421187,4.8944909993401975,4.896190694325343,4.872418644615935,3.211072153914857,3.331293761977516,3.319230098305736,3.322357218889376,3.298797689992738,3.295450334001284,3.164022653368567,3.164016931847352,3.164016931847352.1,3.164013117499876,3.164016931847352.2,3.164016931847352.3,3.164016931847352.4,3.164016931847352.5,3.164016931847352.6,3.164015024673614,3.164016931847352.7,3.164015024673614.1,3.164016931847352.8,3.164016931847352.9,3.164016931847352.10,3.164016931847352.11,3.164013117499876.1,3.164016931847352.12,3.164015024673614.2,3.164016931847352.13,3.164015024673614.3,3.164015024673614.4,3.164016931847352.14,3.164016931847352.15,3.164013117499876.2,3.164013117499876.3,3.164016931847352.16,3.164016931847352.17,3.164016931847352.18,3.164016931847352.13,3.164015024673614.3,3.164015024673614.4,3.164016931847352.14,3.164016931847352.15,3.164013117499876.2,3.164013117499876.3,3.164016931847352.16,3.164016931847352.17,3.164016931847352.18
scenario_1,run_2,6.40800955251534,5.048910115084381,5.004967235090219,3.9924263865124727,4.031526928974203,4.273143687869479,4.339140265995091,3.897799213114965,4.235396715457672,3.929933101127486,4.251423919128517,4.195075113783418,4.182448170808073,4.258771901306599,4.206436968486018,4.176032879921973,4.129404485636998,3.3298320061145685,3.3263964789861573,3.3073820415477333,3.309306430687413,3.190618701039522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_3,1.956296181462753,2.1932797006797258,2.661850246605336,2.3529808238069725,2.460277346190197,2.438017312513084,2.802026855489698,2.295478449098268,2.4365347706893408,2.555270415540018,2.423438198810348,2.283814793936594,2.3539384836180246,2.4390706038432053,2.408260976147951,2.329986458995992,2.3451329661021583,2.47782937638681,2.26107449591863,2.4274802984917745,2.350224173734892,2.4988058911386903,2.280234274311549,2.546463206048151,2.444829429770281,2.248985808460607,2.6320397971738188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_4,5.518431560803284,5.655493098521603,5.811357157283871,5.732359733359719,5.740274096279292,5.741392347121722,5.275732300352952,6.620278664950071,6.465692260380033,6.022903744251095,4.866502123736742,4.880039343813529,4.849984409556567,4.849723626385728,4.849358841991317,4.851987061218485,4.825811651888735,4.8391246809186415,4.86321900168871,4.854576386280236,4.857028938002678,4.843564952109472,4.830062331958078,4.8453476503303,4.862320422167008,4.838687960016437,4.849144713842532,4.853421896316133,4.848670229836156,4.848841489864642,4.845057290602918,4.836773416111864,4.843668699348688,4.845348029692069,4.85042760981283,4.856109097015521,4.841073171660765,4.851398193664434,4.846202323118161,4.790462360680333,4.845057290602918,4.836773416111864,4.843668699348688,4.845348029692069,4.85042760981283,4.856109097015521,4.841073171660765,4.851398193664434,4.846202323118161,4.790462360680333
scenario_1,run_5,2.3117913298639943,2.391231785122204,3.0460953315353803,3.0495924265994456,3.241866962029196,3.0817953770287807,4.340962303015138,3.153846299463174,4.143831223129942,3.092548720022952,3.977129995961673,4.041752535053655,2.712645591882504,2.616015483412153,2.57708576598377,3.94514255892593,2.3365702477581687,4.036513778634461,4.010806502551329,4.011365487612535,2.669752558974031,2.566561249472009,4.041346284542526,2.6300042465580846,3.987239757703355,4.00779616441092,2.920306243006232,4.02395600617377,4.046060018971236,4.03966946065107,4.011542738388326,2.7093620753148384,4.025076285351873,4.020655309213614,4.065024796203799,2.646461158989551,4.015228596966762,2.623264804716244,3.979882632984204,2.693703216313709,4.011542738388326,2.7093620753148384,4.025076285351873,4.020655309213614,4.065024796203799,2.646461158989551,4.015228596966762,2.623264804716244,3.979882632984204,2.693703216313709
scenario_1,run_6,0.0,5.088869201429087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_7,5.012084751297077,5.017796863626328,5.410166871072285,5.144045450724505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7757377143637565,0.0,2.2802796591939662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7264062978089385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3396998631431587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3396998631431587,0.0,0.0,0.0
scenario_1,run_8,7.386978069656053,7.077345390893764,7.250337702476353,7.250408901632599,7.250408901632599,6.158773814831004,6.111761119966922,6.05884327515093,6.05884327515093,6.05884327515093,6.05884327515093,6.05884327515093,6.05884327515093,6.05884327515093,6.05884327515093,6.05884327515093,6.05884327515093,6.05884327515093,5.7043960762104,5.706880453636046,4.918382864447658,4.831426256971853,3.576155370391098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_9,0.0,2.885913833768049,2.891221728687046,2.6170838187164525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2067342760738216,2.284192782971346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_10,10.705547732061804,10.701995702578817,10.591200463228558,10.603911721181529,10.559003793215894,10.574446765557626,10.603907499937396,10.54798242594027,7.000070152546536,7.000070152546536,7.024986306279885,6.985031684887677,6.985376066917936,6.913826354589824,6.913088564160433,6.034715919495793,6.0345917359006425,6.034070179028154,6.034070179028154,6.0265396513567895,6.034020508143821,6.0062605439656815,6.006285320811745,6.006285320811745,6.006285320811745,6.006285320811745,6.006285320811745,6.006285320811745,6.006285320811745,6.006235767172469,6.006285320811745,6.006235767172469,6.006285320811745,6.006285320811745,6.006285320811745,6.006285320811745,6.006285320811745,6.006285320811745,6.006235767172469,6.006285320811745,6.006285320811745,6.006235767172469,6.006285320811745,6.006285320811745,6.006285320811745,6.006285320811745,6.006285320811745,6.006285320811745,6.006235767172469,6.006285320811745
scenario_2,run_1,0.0,4.287825879076018,4.754367945839064,4.753695273092651,4.759652450851656,4.752368156004695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
