scenario_1,run_1,3.829441829649577,3.829445644324237,4.34311852919813,3.5841831616960618,3.1168150610402923,3.120425898221312,3.175612261946306,0.0,3.82871047344374,0.0.1,0.0.2,0.0.3,0.0.4,0.0.5,0.0.6,0.0.7,0.0.8,0.0.9,0.0.10,0.0.11,0.0.12,0.0.13,0.0.14,0.0.15,0.0.16,0.0.17,0.0.18,0.0.19,0.0.20,0.0.21,0.0.22,0.0.23,0.0.24,0.0.25,0.0.26,0.0.27,0.0.28,0.0.29,0.0.30,0.0.31,0.0.32,0.0.33,0.0.34,0.0.35,0.0.36,0.0.37,0.0.38,0.0.39,0.0.40,0.0.41
scenario_1,run_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_3,1.839850146704081,4.1264193656994985,0.0,0.0,0.0,3.6274155938967616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_6,3.7153756975297663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_7,4.42100729536767,1.7323655297199798,1.7440538483736705,1.754062267064015,0.0,1.7040378537344705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_10,2.2726103755516185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_1,3.829451379026207,3.964011566747901,1.8156552833318176,3.956463941374562,3.3990508007506666,2.9011967647303285,2.930505487947424,1.561246758271804,1.7417122649664554,1.560454878673558,1.5599945981297487,1.5373090481373677,1.5396388375715406,1.5397187401511232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_2,2.548556762727258,2.6853533304545105,2.434459756702885,2.689398530854932,2.687062790401081,2.63830667022335,2.0235989699187265,2.5183732887219383,2.023454071087761,1.9634037162264613,1.963205211758572,1.919579257986867,1.963435264990233,1.963564824405285,1.6575463647053446,1.658485065998397,1.6536002544041633,1.6249360828089678,1.620687702073219,1.6147972825683,1.6149886255443688,1.408566921459178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_3,2.076595381976776,2.073827866388914,2.5013732962514386,2.02237338003667,1.9603785811188807,1.8819062893690413,1.883276052562356,1.542319190357622,1.793593602604442,1.8834839555270664,1.8361663283410965,1.8744840007705368,1.4812586631773377,1.853276723137684,1.4804306028897305,1.4798068953718646,1.4782051083533525,1.4866952875168582,1.822464805362728,1.4782140222937277,1.4641847059351492,1.4640751405718466,1.4781605124657446,1.4634081184195713,1.4652443601256415,1.464710962316886,1.4658130367045743,0.0,1.4656919019710812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_4,3.9109387460122185,3.4222831042229056,3.451082405084306,3.9827793774714335,3.970572428319088,3.963453738840943,3.9631714113884486,3.9302233873225294,3.920853474422735,3.905330252043344,3.828596908759399,3.828586422988148,3.815816463633911,2.751478590884388,1.7295456119570085,2.605302872946556,1.8502644327856617,2.947923526493365,2.948264843268735,3.09964045887296,2.9252248774658365,2.947732057477802,2.003325461905249,2.119199825731143,1.7297792552697293,1.7894620105257215,1.8777121087054167,1.828973184626379,1.892786269228202,1.7982195789503408,1.7679731398707117,1.911975479603905,1.9411293405622363,1.823020047282008,1.7955506725026409,1.8318635772890308,1.8024640635720943,1.7597011406725007,1.827086843806229,1.7975342482731151,1.879926085531398,1.7866804542497168,1.73179703551995,1.6879180888815724,1.577801863434687,1.762885954515563,1.7768106547463651,1.8785090374971147,1.7702500667563477,1.8117863086653136
scenario_2,run_5,3.98155314052058,2.782591585266569,3.982011070482979,2.797478939794277,2.796214545115764,3.3395433170958064,2.2533799488801005,3.328313775961982,3.324955800612948,2.156795873519663,2.155814163611232,2.1587796831303634,2.1172772151452057,1.9947562754415755,1.995671560310412,2.077008796091271,1.601463833410426,1.994382867527354,1.7323702304846171,1.914447342202993,1.819049349313156,1.907780599659976,1.778022850199029,1.9114369646120744,1.9093274862369145,1.8174227179320577,1.7323945484739804,1.6867804224672585,1.520918300121784,1.533718124477697,1.6035009342027684,1.9136956211801155,1.646699020950146,1.9100950870523008,1.5634951757917093,1.5219881625765437,1.6050247714350605,1.7741847337683485,1.500951659748169,1.689487722850871,1.7754064439792987,1.9926489653327668,1.7732106816820343,1.730837235942599,1.688667726440621,1.7770593069741685,1.7326522614857802,1.6640168093343344,1.6483394306695256,1.6922964133619836
scenario_2,run_6,2.617331796876617,2.125723317932287,2.6655177238443275,2.1378465002166247,2.126582395285913,2.135851658299776,1.8813140259352408,1.789192198015319,2.03321517874402,1.871537574085296,1.783006337502179,1.878197913314189,1.7690596043561064,1.784638362918144,1.7879875543974322,1.7843339569648096,1.9631509053934657,1.7855232593225283,1.759651054147359,1.7562421354763047,1.947292989915912,1.7555292301844614,1.7553516549014292,1.758562314859596,1.876746324099735,1.7109548560394692,1.886963002970768,1.59198176183836,1.5968735837628307,1.5890410436013438,1.5875575718099055,1.5706730585522055,1.7320354399359676,1.5659212629114383,1.5643605587782,1.562327559760691,1.5646332200209077,1.5590109479265473,1.5616975969025615,1.561351033476016,1.5586879565701366,1.5605693100009168,1.5638043784371984,1.5634521433176007,1.5642004019710334,1.5365127572295718,1.5377174254817572,1.5387205763189644,1.5623782895972458,1.5597863029285428
scenario_2,run_7,3.9666142795104986,3.983419818756788,3.969266404878668,3.970983709778759,3.951383637660072,3.961685831724796,3.9669027807757606,3.960792787580452,3.9626681998178266,3.960897321283891,2.8754729901863034,2.017512623812709,2.101273601592595,2.017474086535708,2.019255264475849,1.9705185346817864,1.844882969974332,1.8840213832173027,1.8049181286134368,1.7628948713741357,1.7651869787319487,1.8037521799089933,1.8041543793042485,1.7637284032250091,1.7638894328255954,0.0,1.6850240519948043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
