id,npc_vertical_before,npc_horizontal_before,npc_behavior_before,pedestrian_vertical_before,pedestrian_horizontal_before,pedestrian_direction_x_before,pedestrian_direction_y_before,pedestrian_speed_before,weather_sun_angle_before,weather_fog_density_before,npc_vertical_n,npc_horizontal_n,npc_behavior_n,pedestrian_vertical_n,pedestrian_horizontal_n,pedestrian_direction_x_n,pedestrian_direction_y_n,pedestrian_speed_n,weather_sun_angle_n,weather_fog_density_n,npc_vertical_rp,npc_horizontal_rp,npc_behavior_rp,pedestrian_vertical_rp,pedestrian_horizontal_rp,pedestrian_direction_x_rp,pedestrian_direction_y_rp,pedestrian_speed_rp,weather_sun_angle_rp,weather_fog_density_rp,npc_vertical_silence,npc_horizontal_silence,npc_behavior_silence,pedestrian_vertical_silence,pedestrian_horizontal_silence,pedestrian_direction_x_silence,pedestrian_direction_y_silence,pedestrian_speed_silence,weather_sun_angle_silence,weather_fog_density_silence,npc_vertical,npc_horizontal,npc_behavior,pedestrian_vertical,pedestrian_horizontal,pedestrian_direction_x,pedestrian_direction_y,pedestrian_speed,weather_sun_angle,weather_fog_density
generation_0_individual_1_cell_0,0.6565398230147678,0.0,0.993852707433596,0.3579021547814349,0.7331437939620306,0.8454641142521464,0.5283860943797751,0.6211570824102146,0.9393013674687593,0.3470703435423645,True,True,False,False,False,False,False,False,False,False,0.7575561261178199,0.0943319510164547,0.3580557969317105,0.8621846571115266,0.7975551553089428,0.6538901545650719,0.1805506444128096,0.8659658225000343,0.9307650802921348,0.3475282792267551,False,True,False,False,False,False,False,False,False,False,0.6565398230147678,0.0,0.993852707433596,0.3579021547814349,0.7331437939620306,0.8454641142521464,0.5283860943797751,0.6211570824102146,0.9393013674687593,0.3470703435423645
generation_0_individual_2_cell_0,0.524851397978014,0.0499553885537814,0.6554787728856174,0.0042970708422769,0.4304387063781415,0.7618905578906879,0.9379916052600952,0.0,0.6733818444267602,0.051763654376483,False,True,True,True,False,False,False,True,True,True,0.6995970757308809,0.6914697345705857,0.7938805051544662,0.6308550841765271,0.0058758256964306,0.1585449358911306,0.2972906766535367,0.055753408110857,0.6091041959251735,0.6603399625292181,False,False,False,False,False,False,False,True,False,False,0.524851397978014,0.0499553885537814,0.6554787728856174,0.0042970708422769,0.4304387063781415,0.7618905578906879,0.9379916052600952,0.0,0.6733818444267602,0.051763654376483
generation_0_individual_3_cell_0,0.1203859829831939,0.8752064860104295,0.742963746458829,0.6367171048972493,0.5898736961922241,0.5785535204056531,0.7212693785431339,0.4194403144840514,0.3326413792644872,0.9044669151714456,False,False,False,False,False,False,True,True,True,False,0.7377036415830464,0.0251847728162515,0.029197834696078,0.7649752419707438,0.5745890946714186,0.677392542580783,0.916453988685808,0.7922141499964807,0.8803041058550541,0.3157888547093652,False,False,False,False,False,False,False,False,False,False,0.1203859829831939,0.8752064860104295,0.742963746458829,0.6367171048972493,0.5898736961922241,0.5785535204056531,0.7212693785431339,0.4194403144840514,0.3326413792644872,0.9044669151714456
generation_0_individual_4_cell_0,0.7194288902089779,0.0164098085318632,0.4969364200134752,0.1305363687528684,0.995013438401258,0.5381150465189046,0.2336249530689954,0.0671239860646581,0.3684738967347432,0.3777138977365708,True,True,True,True,True,True,True,True,False,False,0.5390803022029046,0.7608057306443803,0.624726720546361,0.504545011500696,0.6031495662592699,0.9956486436139348,0.1441578423520563,0.8964038756775059,0.4018056137527409,0.5652769732647259,False,False,False,False,False,False,False,False,False,False,0.7194288902089779,0.0164098085318632,0.4969364200134752,0.1305363687528684,0.995013438401258,0.5381150465189046,0.2336249530689954,0.0671239860646581,0.3684738967347432,0.3777138977365708
generation_0_individual_5_cell_0,0.197467536155202,0.9670077149229171,0.2909891049867625,0.0,0.9550876709888924,0.3978236751084369,0.2850743537549962,0.2219427329329768,0.5452090899110387,0.2752637249985237,False,False,False,True,True,True,True,True,True,False,0.1799028708725818,0.9405062126574668,0.3392136759885828,0.0391183811799069,0.6688302894678317,0.6742593663679131,0.6276214963616387,0.2233868740728658,0.4570651289151468,0.5502238203654297,False,False,False,True,False,False,False,False,False,False,0.197467536155202,0.9670077149229171,0.2909891049867625,0.0,0.9550876709888924,0.3978236751084369,0.2850743537549962,0.2219427329329768,0.5452090899110387,0.2752637249985237
generation_0_individual_6_cell_0,0.4304132406369835,0.9366806405341828,0.2498575492007747,0.1287641596151937,0.6240877936748199,0.0429771848373501,0.5604943926299222,0.4621592573369271,0.903300590523557,0.3613215792335214,False,False,False,True,True,True,False,False,False,False,0.6218151986841923,0.5236569527833307,0.5298781936544686,0.8396207375904602,0.9049225734405224,0.3954701097143965,0.1499036421597238,0.7051305927953876,0.2988709672851905,0.1191783139711962,False,False,False,False,False,False,False,False,False,False,0.4304132406369835,0.9366806405341828,0.2498575492007747,0.1287641596151937,0.6240877936748199,0.0429771848373501,0.5604943926299222,0.4621592573369271,0.903300590523557,0.3613215792335214
generation_0_individual_7_cell_0,0.6948149749288166,0.2671747989452446,0.7455348115759803,0.6773299303022864,0.2839986874995509,0.999367598663485,0.0672537474908622,0.3866118821824565,0.2533836039109146,0.7553595169204703,True,True,False,False,False,False,False,False,False,False,0.7709962758688745,0.3832505999867739,0.3103050991567738,0.8754755615795107,0.7951338669037983,0.5206948518723915,0.1808844094873891,0.9134531820881544,0.2929515470014435,0.6150194077491845,False,False,False,False,False,False,False,False,False,False,0.6948149749288166,0.2671747989452446,0.7455348115759803,0.6773299303022864,0.2839986874995509,0.999367598663485,0.0672537474908622,0.3866118821824565,0.2533836039109146,0.7553595169204703
generation_0_individual_8_cell_0,0.6572133308294326,0.7609413042209403,0.9557295916053208,0.8095375750176951,0.5194992596046462,0.1494022288491987,0.8234724175145429,0.037323179469214,0.7625861936806199,0.8437421527577696,False,False,True,True,True,False,False,False,True,True,0.6942563417896843,0.419308406861313,0.1019697525970629,0.8581470691031121,0.8974679524665071,0.5715852057922404,0.2754392206352933,0.8870891444355993,0.2559556799646962,0.246967620563951,False,False,False,False,False,False,False,False,False,False,0.6572133308294326,0.7609413042209403,0.9557295916053208,0.8095375750176951,0.5194992596046462,0.1494022288491987,0.8234724175145429,0.037323179469214,0.7625861936806199,0.8437421527577696
generation_0_individual_9_cell_0,0.2274783709779712,0.7047800207499618,0.8151917475419347,0.2892952762484306,0.9091923335894654,0.7935105525625211,0.4062058657727302,0.0039834505694137,0.6942134103222386,0.0923810285990721,False,False,False,False,False,False,False,False,False,False,0.2100096524226449,0.5268670418910696,0.5757773779736249,0.8252482352544553,0.0308937576257783,0.8056018132145668,0.222708986474583,0.9119218503836096,0.8527022943202566,0.9626495410260012,False,False,False,False,False,False,False,False,False,False,0.2274783709779712,0.7047800207499618,0.8151917475419347,0.2892952762484306,0.9091923335894654,0.7935105525625211,0.4062058657727302,0.0039834505694137,0.6942134103222386,0.0923810285990721
generation_0_individual_10_cell_0,0.1203859829831939,0.0679892179626981,0.2669350175539222,0.2296234157614234,0.5310358744860278,0.0,0.2498166803482701,0.1375962010970841,0.6733818444267602,0.051763654376483,False,False,True,True,True,True,True,False,False,False,0.6906808585490204,0.0945274861831073,0.6372103315378524,0.1800264796052657,0.522778907641189,0.0288164432537477,0.974623600962943,0.9408077799971885,0.1705077302861308,0.4181906408666088,False,False,False,False,False,True,False,False,False,False,0.1203859829831939,0.0679892179626981,0.2669350175539222,0.2296234157614234,0.5310358744860278,0.0,0.2498166803482701,0.1375962010970841,0.6733818444267602,0.051763654376483
